tube_code,species_reported,Collection,Vitek,BMD,MALDI_report,MALDI_spot,MALDI_Hit_1,Read_loc,vitek_performed,loc_performed,read_1,read_2,R1_path,R2_path,AnalyteId,spot_dir,ProjectUid,ST
AH21I063,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,B1,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I063_S11_L001_R1_001.fastq.gz,AH21I063_S11_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I063_S11_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I063_S11_L001_R2_001.fastq.gz,AH21I063,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/4f89269c-0fa4-42bc-8f72-ea2c1d12a40e/0_B1,ba29fabd-6378-4af5-aa7e-34dd0beb2576,1597
AH21I064,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,B2,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I064_S12_L001_R1_001.fastq.gz,AH21I064_S12_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I064_S12_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I064_S12_L001_R2_001.fastq.gz,AH21I064,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/f4a5dcfa-9600-46f4-9f1a-d3d08ba26d15/0_B2,ba29fabd-6378-4af5-aa7e-34dd0beb2576,69
AH21I076,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,B5,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I076_S193_L001_R1_001.fastq.gz,AH21I076_S193_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I076_S193_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I076_S193_L001_R2_001.fastq.gz,AH21I076,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/1cc3f0a5-0f6d-451a-bb46-63e79716e898/0_B5,ba29fabd-6378-4af5-aa7e-34dd0beb2576,69
AH21I071,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,B4,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I071_S13_L001_R1_001.fastq.gz,AH21I071_S13_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I071_S13_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I071_S13_L001_R2_001.fastq.gz,AH21I071,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/92e7ec8e-b856-49b6-8cdf-0c9d9a11837b/0_B4,ba29fabd-6378-4af5-aa7e-34dd0beb2576,131
AH21I079,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,B6,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I079_S14_L001_R1_001.fastq.gz,AH21I079_S14_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I079_S14_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I079_S14_L001_R2_001.fastq.gz,AH21I079,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/908cfe94-1259-4c8f-a871-0aff11520de8/0_B6,ba29fabd-6378-4af5-aa7e-34dd0beb2576,131
AH21I083,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,B7,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I083_S15_L001_R1_001.fastq.gz,AH21I083_S15_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I083_S15_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I083_S15_L001_R2_001.fastq.gz,AH21I083,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/1b5e8fb1-c0e0-4732-a417-0fdd8690691b/0_B7,ba29fabd-6378-4af5-aa7e-34dd0beb2576,8b5462b997d84882ce089955c0d6373454425f67
AH21I090,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,B9,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I090_S17_L001_R1_001.fastq.gz,AH21I090_S17_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I090_S17_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I090_S17_L001_R2_001.fastq.gz,AH21I090,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/434ffcf8-4f3a-45ff-bee8-ddf0263382b7/0_B9,ba29fabd-6378-4af5-aa7e-34dd0beb2576,73
AH21J004,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,B10,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21J004_S18_L001_R1_001.fastq.gz,AH21J004_S18_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J004_S18_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J004_S18_L001_R2_001.fastq.gz,AH21J004,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/10e1848b-f5e7-4f33-8574-b670300053e4/0_B10,ba29fabd-6378-4af5-aa7e-34dd0beb2576,95
AH21J020,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,B11,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21J020_S19_L001_R1_001.fastq.gz,AH21J020_S19_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J020_S19_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J020_S19_L001_R2_001.fastq.gz,AH21J020,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/df9ff8b7-e02d-49e1-9360-64b52e615062/0_B11,ba29fabd-6378-4af5-aa7e-34dd0beb2576,12
AH21J030,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,C1,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21J030_S194_L001_R1_001.fastq.gz,AH21J030_S194_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J030_S194_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J030_S194_L001_R2_001.fastq.gz,AH21J030,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/1cce519f-080e-4d64-93f3-70fe890087d3/0_C1,ba29fabd-6378-4af5-aa7e-34dd0beb2576,131
AH21J032,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,C2,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21J032_S21_L001_R1_001.fastq.gz,AH21J032_S21_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J032_S21_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J032_S21_L001_R2_001.fastq.gz,AH21J032,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/8b2aab5d-4a83-4465-9084-f2782fa94ba0/0_C2,ba29fabd-6378-4af5-aa7e-34dd0beb2576,95
AH21J035,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,C3,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21J035_S22_L001_R1_001.fastq.gz,AH21J035_S22_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J035_S22_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J035_S22_L001_R2_001.fastq.gz,AH21J035,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/fde84d7a-1a0a-4b20-972e-43be5990a988/0_C3,ba29fabd-6378-4af5-aa7e-34dd0beb2576,297
AH21J038,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,C4,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21J038_S23_L001_R1_001.fastq.gz,AH21J038_S23_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J038_S23_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J038_S23_L001_R2_001.fastq.gz,AH21J038,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/148321b9-dc2e-46c6-81ef-bbbcd0acc861/0_C4,ba29fabd-6378-4af5-aa7e-34dd0beb2576,69
AH21J039,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,C5,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21J039_S24_L001_R1_001.fastq.gz,AH21J039_S24_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J039_S24_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J039_S24_L001_R2_001.fastq.gz,AH21J039,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/d2480166-fad0-478d-8127-c283d76eee15/0_C5,ba29fabd-6378-4af5-aa7e-34dd0beb2576,10320
AH21J042,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,C6,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21J042_S25_L001_R1_001.fastq.gz,AH21J042_S25_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J042_S25_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J042_S25_L001_R2_001.fastq.gz,AH21J042,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/72af24f2-2918-40c0-af80-790210f0f45f/0_C6,ba29fabd-6378-4af5-aa7e-34dd0beb2576,06324d24b056189b650a5c1f3894069109789907
AH21J045,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,C7,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21J045_S26_L001_R1_001.fastq.gz,AH21J045_S26_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J045_S26_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21J045_S26_L001_R2_001.fastq.gz,AH21J045,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/b8b8c340-0859-47e2-8a90-3dfd3bb0feb7/0_C7,ba29fabd-6378-4af5-aa7e-34dd0beb2576,131
